listing_id,model,source,buy_price,shipping,purchase_tax,parts_cost,expected_resale,projected_profit,roi,confidence,risk_level,comp_count,listing_age_minutes,liquidity_score,lock_flag,bucket
SYN0001,iPhone 16 Pro 256GB,new_listing,356,8,30.03,0,601,191.97,0.5392,95,Low,11,25.6,58,False,alert_ready
SYN0002,iPhone 14 128GB,ending_auction,247,18,21.86,55,347,-9.86,-0.0399,46,Medium,4,48.7,43,False,rejected
SYN0003,iPhone 14 128GB,misspelling,404,8,33.99,35,668,172.01,0.4258,80,Low,2,21.9,34,False,needs_review
SYN0004,iPhone 13 128GB,misspelling,475,12,40.18,0,869,326.82,0.688,91,Medium,9,37.3,69,False,alert_ready
SYN0005,iPhone 16 Pro 256GB,new_listing,438,0,36.14,12,553,51.86,0.1184,69,Low,2,38.3,34,False,needs_review
SYN0006,iPhone 14 Pro 256GB,new_listing,454,18,38.94,0,593,67.06,0.1477,81,Low,10,43.9,63,False,needs_review
SYN0007,iPhone 14 Pro 256GB,refresh_queue,519,10,43.64,0,890,302.36,0.5826,79,Medium,4,24.4,45,False,alert_ready
SYN0008,iPhone 15 Pro 256GB,seller_scan,372,12,31.68,55,642,156.32,0.4202,94,Low,11,8.8,81,False,alert_ready
SYN0009,iPhone 14 Pro 256GB,misspelling,637,12,53.54,35,758,5.46,0.0086,41,Medium,4,5.9,44,False,rejected
SYN0010,iPhone 14 128GB,ending_auction,546,12,46.04,55,752,77.96,0.1428,78,Medium,10,58.3,58,False,needs_review
SYN0011,iPhone 13 128GB,misspelling,682,18,57.75,35,869,61.25,0.0898,67,Low,2,27.5,46,False,needs_review
SYN0012,iPhone 14 Pro 256GB,refresh_queue,347,0,28.63,25,502,86.37,0.2489,95,Medium,11,9.6,82,False,alert_ready
SYN0013,iPhone 15 Pro 256GB,seller_scan,581,0,47.93,0,933,289.07,0.4975,91,Low,6,14.8,61,False,alert_ready
SYN0014,iPhone 13 128GB,misspelling,339,15,29.21,0,390,-8.21,-0.0242,49,Low,3,33.2,51,False,rejected
SYN0015,iPhone 15 Pro 256GB,new_listing,457,18,39.19,12,536,-5.19,-0.0114,51,Low,12,40.5,69,False,rejected
